암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
JDQ4MTg4MSM1MSMkMSMkOCMkMTMkMzgxNzAyIzExIyQxIyQzIyQ5MiQzNjE4MzIjNDEjJDEjJDQjJDgz,365반반한의원,93,한의원,110000,서울,110010,서대문구,충정로2가,03735,"서울특별시 서대문구 통일로9안길 28, 2,3층 (충정로2가)",02-2138-2407,,2024-11-12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,126.9653516,37.5660971
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,365본맥한의원,93,한의원,110000,서울,110012,성북구,정릉동,02709,"서울특별시 성북구 보국문로 51, 2층 (정릉동, 안진빌딩)",02-943-2500,,2016-05-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0095397,37.6091314
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ2MiQzNjE0ODEjODEjJDEjJDIjJDgz,365봄한의원,93,한의원,110000,서울,110022,노원구,상계동,01767,"서울특별시 노원구 동일로 1343, 동일프라자빌딩 201,202,203호 (상계동)",02-938-7575,,2008-06-10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,127.0620148,37.6484977
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQxIyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz,365봄한의원,93,한의원,110000,서울,110015,은평구,녹번동,03372,"서울특별시 은평구 통일로 626, 유림빌딩 2층 (녹번동)",02-6949-2575,,2020-04-28,2,0,0,0,0,0,0,0,0,1,0,0,1,0,126.9354251,37.6024806
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQxIyQ3IyQwMyQzNjEwMDIjNDEjJDEjJDQjJDgz,365서울한의원,93,한의원,110000,서울,110005,구로구,구로동,08369,"서울특별시 구로구 도림로26길 10, 해맑은미소 5,6층 (구로동)",02-1661-1409,,2019-08-30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8942812,37.4909718
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjODEjJDEjJDIjJDgz,365소리안한의원,93,한의원,110000,서울,110001,강남구,논현동,06060,"서울특별시 강남구 학동로 339, 세한빌딩 2층 (논현동)",02-511-8805,,2024-01-03,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0402023,37.5171461
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQyIyQxIyQwMCQ0NjE0ODEjNTEjJDEjJDIjJDgz,365송파한의원,93,한의원,110000,서울,110018,송파구,오금동,05720,"서울특별시 송파구 중대로 304, 3층 (오금동)",-,,2024-04-29,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1331986,37.5074047
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxNzAyIzExIyQxIyQzIyQ3MiQzNjEyMjIjNjEjJDEjJDQjJDgz,365신의손한의원,93,한의원,110000,서울,110006,도봉구,창동,01414,"서울특별시 도봉구 마들로11길 65, 3층 (창동)",02-2138-3658,,2025-11-13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0496789,37.6534207
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQyIyQxIyQwMCQzNjEwMDIjODEjJDEjJDIjJDgz,365쌩쌩한의원,93,한의원,110000,서울,110018,송파구,송파동,05671,"서울특별시 송파구 가락로 210, 102호 (송파동)",02-6958-8803,,2024-04-23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1165063,37.5069775
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz,365어울림한의원,93,한의원,110000,서울,110003,강서구,화곡동,07679,"서울특별시 강서구 초록마을로 15, 102~104호 (화곡동, 은가람팰리스)",02-6949-2542,,2022-09-14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,126.8460768,37.544388
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,365열린한의원,93,한의원,110000,서울,110004,관악구,봉천동,08729,"서울특별시 관악구 양녕로 58, 2층 201호 (봉천동)",02-889-2929,,2007-09-14,2,0,0,0,0,0,0,0,0,2,0,0,0,0,126.9470315,37.4873021
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ5OSQzNjEyMjIjNTEjJDEjJDIjJDgz,365열한의원,93,한의원,110000,서울,110004,관악구,봉천동,08793,"서울특별시 관악구 남부순환로 1922, 8층 (봉천동)",02-882-7582,,2026-02-12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,126.9626545,37.4770296
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQxIyQ3OSQyNjEwMDIjNjEjJDEjJDQjJDgz,365예한의원,93,한의원,110000,서울,110018,송파구,방이동,05634,"서울특별시 송파구 가락로36길 5, (방이동,2층)",02-413-7975,,2010-04-08,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1187029,37.5098927
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQ5IyQ2MiQyNjEyMjIjNjEjJDEjJDQjJDgz,365탄탄한의원,93,한의원,110000,서울,110013,영등포구,문래동3가,07294,"서울특별시 영등포구 문래로 79-4, 태양프라자 4층 (문래동3가)",02-2633-3650,,2021-05-10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,126.8909812,37.5198191
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQxIyQ4MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,365평생한의원,93,한의원,110000,서울,110018,송파구,거여동,05772,"서울특별시 송파구 오금로 500, 동양빌딩 3층 (거여동)",02-2135-5541,,2020-04-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1440246,37.4928711
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQ1IyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,365필요한의원,93,한의원,110000,서울,110019,중랑구,상봉동,02120,"서울특별시 중랑구 망우로 198, 2층 (상봉동)",02-2135-5875,,2024-03-06,2,0,0,0,0,0,0,0,0,2,0,0,0,0,127.0748804,37.5933359
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDQjJDgz,365헬리오한의원,93,한의원,110000,서울,110018,송파구,가락동,05698,"서울특별시 송파구 송파대로 345, 1A동 4층 4009호 (가락동, 헬리오시티)",02-2043-8880,,2019-03-08,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1072604,37.4976183
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,365황금손한의원,93,한의원,110000,서울,110004,관악구,신림동,08771,"서울특별시 관악구 난곡로 305, 대영빌딩 3층 (신림동)",02-868-0365,,2022-09-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9143611,37.4812445
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQyIyQ3IyQwMCQ0NjEwMDIjNTEjJDEjJDIjJDgz,4대회춘당한의원,93,한의원,110000,서울,110011,성동구,행당동,04714,"서울특별시 성동구 행당로 107, 2층 (행당동)",02-2291-2054,,2015-06-04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0308715,37.5580481
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,8메디한의원,93,한의원,110000,서울,110021,서초구,서초동,06644,"서울특별시 서초구 서초중앙로 125, 4층 408호 (서초동, 로이어즈타워)",02-6203-8875,,2013-10-30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,127.0134514,37.4929935
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzIxIyQxIyQxIyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,9치한의원,93,한의원,110000,서울,110021,서초구,서초동,06654,"서울특별시 서초구 효령로 279, 7층 (서초동)",581-4488,,2014-09-18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0147775,37.4849497
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNTEjJDEjJDIjJDgz,MBS한의원,93,한의원,110000,서울,110017,중구,저동2가,04551,"서울특별시 중구 수표로 45, 9층 (저동2가, 비즈센터)",3406-9180,http://www.mbshealing.co.kr,2008-05-28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9895589,37.5653389
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQwMyQyNjEyMjIjNTEjJDEjJDIjJDgz,가나다한의원,93,한의원,110000,서울,110015,은평구,불광동,03342,"서울특별시 은평구 연서로 265, 3층 (불광동)",02-357-9119,,2015-04-29,2,0,0,0,0,0,0,0,0,2,0,0,0,0,126.9240958,37.6205169
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQ1IyQxMyQyNjE0ODEjNzEjJDEjJDgjJDgz,가다정한의원,93,한의원,110000,서울,110023,광진구,능동,04985,"서울특별시 광진구 능동로 302, 3층 (능동)",02-6949-3654,,2022-04-08,2,0,0,0,0,0,0,0,0,2,0,0,0,0,127.0795562,37.5565975
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQxIyQwMyQzNjE0ODEjODEjJDEjJDIjJDgz,가디한의원,93,한의원,110000,서울,110021,서초구,서초동,06709,"서울특별시 서초구 남부순환로315길 104, 성누가의원 2층 (서초동)",02-523-8408,,2021-05-12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0075439,37.4830989
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ3MiQyNjEyMjIjODEjJDEjJDYjJDgz,가락한의원,93,한의원,110000,서울,110018,송파구,가락동,05711,"서울특별시 송파구 송파대로 286, 신흥빌딩 1층 일부2칸호 (가락동)",02-409-2950,,1988-11-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1171884,37.4949179
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ2MiQ0NjEwMDIjODEjJDEjJDYjJDgz,가람한의원,93,한의원,110000,서울,110022,노원구,공릉동,01851,"서울특별시 노원구 섬밭로 156, 204호 (공릉동, 라이프2단지상가)",02-974-1214,,2008-03-17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.068022,37.6307865
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,가람한의원,93,한의원,110000,서울,110005,구로구,구로동,08301,"서울특별시 구로구 가마산로 271, 202호 (구로동)",02-855-3696,,1999-11-18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8902977,37.496407
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,가람한의원,93,한의원,110000,서울,110020,양천구,신정동,08104,"서울특별시 양천구 목동남로4길 2, 2층 201호 (신정동, 세양청마루상가)",02-2062-1175,,2008-09-29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,126.864506,37.5082218
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQxIyQ3IyQxMyQ0NjEwMDIjNDEjJDEjJDQjJDgz,가로세로한의원,93,한의원,110000,서울,110021,서초구,서초동,06604,"서울특별시 서초구 서초중앙로24길 19, 6층 (서초동, 나라빌딩)",02-599-8456,,2001-04-19,3,0,0,0,0,0,0,0,0,3,0,0,0,0,127.0157133,37.4950499
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQ5IyQxMyQyNjE0ODEjNjEjJDEjJDQjJDgz,가로세로한의원,93,한의원,110000,서울,110015,은평구,갈현동,03328,"서울특별시 은평구 갈현로 300, 2층 203호 (갈현동, (유)갈현상가)",02-383-8275,,2004-04-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9174194,37.623609
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQ1IyQ4OSQzNjE4MzIjNjEjJDEjJDgjJDgz,가뿐한의원,93,한의원,110000,서울,110001,강남구,역삼동,06211,"서울특별시 강남구 테헤란로 322, 한신인터밸리24 지하2층 B102, B103호 (역삼동)",02-2183-1755,,2024-12-06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.046588,37.5032509
JDQ4MTg4MSM1MSMkMSMkOCMkMTMkMzgxNzAyIzExIyQxIyQzIyQ3MiQzNjEyMjIjNzEjJDEjJDgjJDgz,가산경희한의원,93,한의원,110000,서울,110025,금천구,가산동,08589,"서울특별시 금천구 가산디지털2로 70, 대륭테크노타운19차 1층 110호 (가산동)",02-6953-7828,,2022-08-09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,126.8820637,37.4750139
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQ2MiQzNjEwMDIjNjEjJDEjJDQjJDgz,가산이안한의원,93,한의원,110000,서울,110025,금천구,가산동,08511,"서울특별시 금천구 벚꽃로36길 30, 222,223,224호 (가산동)",02-6958-7135,,2024-05-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8850987,37.4806948
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQxIyQxIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,가산한의원,93,한의원,110000,서울,110025,금천구,가산동,08507,"서울특별시 금천구 가산디지털1로 168, 우림라이온스밸리 A동 101호 (가산동)",2026-5575,http://www.bimedi.com/,2010-02-24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8826362,37.4799665
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQ1IyQ4OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,가양베스트한의원,93,한의원,110000,서울,110003,강서구,등촌동,07575,"서울특별시 강서구 양천로 492, 2층 202호 (등촌동, 길훈엔트런스빌)",02-2659-1075,,2008-03-27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,126.8546344,37.5608837
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzMxIyQxIyQ3IyQ2MiQyNjE0ODEjNDEjJDEjJDgjJDgz,가양한의원,93,한의원,110000,서울,110003,강서구,가양동,07526,"서울특별시 강서구 양천로 461, 주영빌딩 2층 (가양동)",02-6949-1079,,2023-01-18,2,0,0,0,0,0,0,0,0,2,0,0,0,0,126.8522408,37.5630495
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkMzgxNzAyIzMxIyQxIyQzIyQ3OSQyNjE0ODEjNDEjJDEjJDQjJDgz,가온경희한의원,93,한의원,110000,서울,110001,강남구,삼성동,06092,"서울특별시 강남구 선릉로 654, 예인빌딩 401호 (삼성동)",3443-6789,http://www.gaon.co.kr,2007-09-18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0423767,37.515084
JDQ4MTg4MSM1MSMkMSMkOCMkMTMkMzgxNzAyIzExIyQyIyQzIyQwMCQyNjEyMjIjNDEjJDEjJDQjJDgz,가온자리한의원,93,한의원,110000,서울,110021,서초구,잠원동,06526,"서울특별시 서초구 강남대로 589, 멀버리힐스 제2동 2층 205호 (잠원동)",02-6403-7114,,2021-11-15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0194112,37.5144416
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzUxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,가원한의원,93,한의원,110000,서울,110001,강남구,논현동,06099,"서울특별시 강남구 학동로 342, 에스케이 허브블루 303~304호 (논현동)",02-541-2500,,2005-10-21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,127.0408461,37.5167495
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQxIyQ3IyQxMyQyNjEyMjIjNTEjJDEjJDIjJDgz,가유한의원,93,한의원,110000,서울,110002,강동구,명일동,05269,"서울특별시 강동구 동남로75길 27, 고덕역갑을명가시티 오피스텔 2층 2-5,2-6호 (명일동)",02-6959-1991,,2019-09-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1546372,37.5539579
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzQxIyQxIyQ3IyQ3OSQzNjE4MzIjNjEjJDEjJDgjJDgz,가은치유한의원,93,한의원,110000,서울,110001,강남구,역삼동,06212,"서울특별시 강남구 선릉로 427, 7층 (역삼동)",02-557-8845,,2023-06-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0493841,37.5030852
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDQjJDgz,가은한의원,93,한의원,110000,서울,110007,동대문구,답십리동,02595,"서울특별시 동대문구 답십리로30길 51, 1층 (답십리동)",02-456-6619,,2015-12-31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.047545,37.5730506
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQxIyQzIyQwMyQ0NjE0ODEjODEjJDEjJDIjJDgz,가재울부부한의원,93,한의원,110000,서울,110010,서대문구,,03711,"서울특별시 서대문구 가재울미래로 2, 202동 101호 (남가좌동, DMC파크뷰자이)",02-303-5475,,2016-10-14,2,0,0,0,0,0,0,0,0,1,0,0,1,0,126.9176131,37.5728378
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzMxIyQxIyQzIyQ4OSQzNjEwMDIjNjEjJDEjJDgjJDgz,가족사랑한의원,93,한의원,110000,서울,110009,마포구,성산동,03971,"서울특별시 마포구 월드컵로 112, 2층 (성산동, 효성빌딩)",338-1075,,2004-08-19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9081927,37.5585207
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzUxIyQxIyQ1IyQ5OSQzNjEyMjIjNjEjJDEjJDAjJDgz,가치한의원,93,한의원,110000,서울,110001,강남구,청담동,06010,"서울특별시 강남구 도산대로81길 50, 4층 (청담동)",02-2203-5003,,2013-03-13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.046043,37.5273742
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjE0ODEjODEjJDEjJDIjJDgz,가한의원,93,한의원,110000,서울,110003,강서구,염창동,07540,"서울특별시 강서구 양천로 719, (염창동)",02-3664-0036,,1989-07-18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8759381,37.5496101
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzUxIyQyIyQxIyQwMCQyNjEyMjIjNTEjJDEjJDIjJDgz,간편한의원,93,한의원,110000,서울,110009,마포구,서교동,04033,"서울특별시 마포구 양화로 105, 2층 (서교동)",02-332-7075,,2021-04-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9185836,37.5534171
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzQxIyQxIyQ3IyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,감나무한의원,93,한의원,110000,서울,110024,강북구,번동,01062,"서울특별시 강북구 도봉로 296, 2층 (번동, 양덕빌딩)",02-999-8945,,2002-01-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0236337,37.634921
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQ1IyQwMyQzNjEyMjIjODEjJDEjJDYjJDgz,감동한의원,93,한의원,110000,서울,110018,송파구,신천동,05507,"서울특별시 송파구 올림픽로35길 10, B동 3층 302호 (신천동)",02-2135-3678,,2025-05-30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1132814,37.5203138
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzExIyQxIyQzIyQ4OSQzNjEyMjIjNjEjJDEjJDQjJDgz,감초당청담한의원,93,한의원,110000,서울,110005,구로구,개봉동,08347,"서울특별시 구로구 개봉로 49, 3층 (개봉동)",02-2619-6114,,2010-03-31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.855808,37.490091
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQyIyQxIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,감초당한의원,93,한의원,110000,서울,110018,송파구,신천동,05504,"서울특별시 송파구 올림픽로35길 94, 311호 (신천동, 장미3차맨션)",02-413-6207,http://www.감초당한의원.com,1988-03-21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.103457,37.5184626
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQxIyQ3IyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,감초당한의원,93,한의원,110000,서울,110004,관악구,신림동,08775,"서울특별시 관악구 신림로 269, (신림동)",02-867-7975,,2008-09-22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9315727,37.4787523
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,감초한의원,93,한의원,110000,서울,110005,구로구,구로동,08323,"서울특별시 구로구 구일로8길 56, 구일프라자 (구로동)",02-852-5017,,1997-01-30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8741092,37.4956533
